headword	id	sort_order	re1	re2	n_cum_1	n_seq_1	n_ic_cum_1	n_ic_seq_1	n_cum_2	n_seq_2	n_ic_cum_2	n_ic_seq_2	n_manual	n_manual_cmt	n_final	main_form	related_headword	dewk_main_form_on_variant	link_de	link_en
auf den Sankt-Nimmerleins-Tag	147	147	auf den Sankt-Nimmerleins-Tag		0	0	0	0							0	auf den Sankt-Nimmerleins-Tag			https://de.wiktionary.org/wiki/auf_den_Sankt-Nimmerleins-Tag	
auf den Stutz	148	148	auf den Stutz		0	0	0	0							0				https://de.wiktionary.org/wiki/auf_den_Stutz	
auf den Swutsch gehen	149	149	auf den Swutsch + GEHEN		0	0 -> 0	0	0 -> 0							0	auf den Swutsch gehen			https://de.wiktionary.org/wiki/auf_den_Swutsch_gehen	
auf der Bärenhaut liegen	150	150	auf der Bärenhaut 		1	1	1	1							1				https://de.wiktionary.org/wiki/auf_der_B%C3%A4renhaut_liegen	https://en.wiktionary.org/wiki/auf_der_B%C3%A4renhaut_liegen
auf der Dacken liegen	151	151	auf der Dacken + LIEGEN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/auf_der_Dacken_liegen	
auf der faulen Haut liegen	152	152	auf der faulen Haut + LIEGEN		1	1 -> 1	1	1 -> 1							1				https://de.wiktionary.org/wiki/auf_der_faulen_Haut_liegen	https://en.wiktionary.org/wiki/auf_der_faulen_Haut_liegen
auf der gleichen Wellenlänge sein	153	153	auf der gleichen Wellenlänge + SEIN		0	1 -> 0	0	1 -> 0							0				https://de.wiktionary.org/wiki/auf_der_gleichen_Wellenl%C3%A4nge_sein	
auf der Hand liegen	154	154	auf der Hand + LIEGEN		23	46 -> 23	23	46 -> 23							23				https://de.wiktionary.org/wiki/auf_der_Hand_liegen	https://en.wiktionary.org/wiki/auf_der_Hand_liegen
auf der Hut sein	155	155	auf der Hut + SEIN		5	13 -> 5	5	13 -> 5							5				https://de.wiktionary.org/wiki/auf_der_Hut_sein	https://en.wiktionary.org/wiki/auf_der_Hut_sein
auf der Kippe stehen	156	156	auf der Kippe	auf der Kippe + STEHEN	15	15	15	15	9	15 -> 9	9	15 -> 9			15	auf der Kippe stehen			https://de.wiktionary.org/wiki/auf_der_Kippe_stehen	
auf der Lauer liegen	157	157	auf der Lauer + LIEGEN		2	8 -> 2	2	8 -> 2							2				https://de.wiktionary.org/wiki/auf_der_Lauer_liegen	
auf der Stelle	158	158	auf der Stelle		118	118	118	118							118				https://de.wiktionary.org/wiki/auf_der_Stelle	
auf der Straße leben	159	159	auf der Straße + LEBEN + MANUAL_REVIEW		27	725 -> 27 -> 27	49	725 -> 49 -> 49							27				https://de.wiktionary.org/wiki/auf_der_Stra%C3%9Fe_leben	
auf der Strecke bleiben	160	160	auf der Strecke + BLEIBEN	auf der Strecke	50	1129 -> 50	50	1129 -> 50	1129	1129	1129	1129			50				https://de.wiktionary.org/wiki/auf_der_Strecke_bleiben	https://en.wiktionary.org/wiki/auf_der_Strecke_bleiben
auf der Tacken liegen	161	161	auf der Tacken + LIEGEN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/auf_der_Tacken_liegen	
auf des Messers Schneide stehen	162	162	auf des Messers Schneide + STEHEN	auf des Messers Schneide	2	2 -> 2	2	2 -> 2	2	2	2	2			2	auf Messers Schneide stehen			https://de.wiktionary.org/wiki/auf_des_Messers_Schneide_stehen	
auf die Barrikaden gehen	163	163	auf die Barrikaden + GEHEN		3	8 -> 3	3	8 -> 3							3		auf die Straße gehen		https://de.wiktionary.org/wiki/auf_die_Barrikaden_gehen	https://en.wiktionary.org/wiki/auf_die_Barrikaden_gehen
auf die Kacke hauen	164	164	auf die Kacke + HAUEN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/auf_die_Kacke_hauen	
auf die Nase binden	165	165	auf die Nase + BINDEN		0	10 -> 0	0	10 -> 0							0				https://de.wiktionary.org/wiki/auf_die_Nase_binden	https://en.wiktionary.org/wiki/auf_die_Nase_binden
auf die Nase fallen	166	166	auf die Nase + FALLEN		2	10 -> 2	2	10 -> 2							2				https://de.wiktionary.org/wiki/auf_die_Nase_fallen	
auf die Nerven gehen	167	167	auf die Nerven + GEHEN		26	29 -> 26	26	29 -> 26							26				https://de.wiktionary.org/wiki/auf_die_Nerven_gehen	https://en.wiktionary.org/wiki/auf_die_Nerven_gehen
auf die Pauke hauen	168	168	auf die Pauke + HAUEN		3	3 -> 3	3	3 -> 3							3				https://de.wiktionary.org/wiki/auf_die_Pauke_hauen	
auf die schiefe Bahn geraten	169	169	auf die Schiefe Bahn		0	0	10	10							0				https://de.wiktionary.org/wiki/auf_die_schiefe_Bahn_geraten	
auf die Schnelle	170	170	auf die Schnelle		10	10	15	15							10				https://de.wiktionary.org/wiki/auf_die_Schnelle	
auf die Straße gehen	171	171	auf die Straße + GEHEN		53	201 -> 53	55	201 -> 55							53		auf die Straße gehen		https://de.wiktionary.org/wiki/auf_die_Stra%C3%9Fe_gehen	
auf die Tränendrüse drücken	172	172	auf die Tränendrüse + drück		1	1 -> 1	1	1 -> 1							1				https://de.wiktionary.org/wiki/auf_die_Tr%C3%A4nendr%C3%BCse_dr%C3%BCcken	https://en.wiktionary.org/wiki/auf_die_Tr%C3%A4nendr%C3%BCse_dr%C3%BCcken
auf die Tube drücken	173	173	auf die Tube + drück		0	1 -> 0	1	1 -> 1							0				https://de.wiktionary.org/wiki/auf_die_Tube_dr%C3%BCcken	
auf Draht sein	174	174	auf Draht + SEIN		1	1 -> 1	1	1 -> 1							1				https://de.wiktionary.org/wiki/auf_Draht_sein	
auf dünnem Eis	175	175	auf dünnem Eis	auf dünnes Eis	1	1	1	1	0	0	0	0			1				https://de.wiktionary.org/wiki/auf_d%C3%BCnnem_Eis	
auf eigene Faust	176	176	auf eigene Faust		142	142	142	142							142				https://de.wiktionary.org/wiki/auf_eigene_Faust	
auf eigene Gefahr	177	177	auf eigene Gefahr		20	20	20	20							20				https://de.wiktionary.org/wiki/auf_eigene_Gefahr	
auf eigene Rechnung	178	178	auf eigene Rechnung		90	90	90	90							90				https://de.wiktionary.org/wiki/auf_eigene_Rechnung	
auf eigenen Beinen stehen	179	179	auf eigenen Beinen + STEHEN		7	8 -> 7	7	8 -> 7							7				https://de.wiktionary.org/wiki/auf_eigenen_Beinen_stehen	https://en.wiktionary.org/wiki/auf_eigenen_Beinen_stehen
auf ein Haar	180	180	auf ein Haar		0	0	0	0							0	aufs Haar			https://de.wiktionary.org/wiki/auf_ein_Haar	
auf etwas erpicht sein	181	181	auf + erpicht + SEIN		6	548023 -> 6 -> 6	6	548079 -> 6 -> 6							6			erpicht	https://de.wiktionary.org/wiki/auf_etwas_erpicht_sein	
auf etwas nichts kommen lassen	182	182	auf + nichts kommen + LASSEN		1	548023 -> 1 -> 1	1	548079 -> 1 -> 1							1				https://de.wiktionary.org/wiki/auf_etwas_nichts_kommen_lassen	
auf ex trinken	183	183	auf ex + TRINKEN		1	1 -> 1	1	7 -> 1							1				https://de.wiktionary.org/wiki/auf_ex_trinken	https://en.wiktionary.org/wiki/auf_ex_trinken
auf freiem Fuß sein	184	184	auf freiem Fuß		36	36	36	36							36				https://de.wiktionary.org/wiki/auf_freiem_Fu%C3%9F_sein	https://en.wiktionary.org/wiki/auf_freiem_Fu%C3%9F_sein
auf freien Fuß setzen	185	185	auf freien Fuß + SETZEN		68	89 -> 68	68	89 -> 68							68				https://de.wiktionary.org/wiki/auf_freien_Fu%C3%9F_setzen	
auf Freiersfüßen gehen	186	186	auf Freiersfüßen + GEHEN		1	5 -> 1	1	5 -> 1							1				https://de.wiktionary.org/wiki/auf_Freiersf%C3%BC%C3%9Fen_gehen	
auf Freiersfüßen wandeln	187	187	auf Freiersfüßen + wand(el|le)		1	5 -> 1	1	5 -> 1							1				https://de.wiktionary.org/wiki/auf_Freiersf%C3%BC%C3%9Fen_wandeln	
auf Gedeih und Verderb	188	188	auf Gedeih und Verderb		3	3	3	3							3				https://de.wiktionary.org/wiki/auf_Gedeih_und_Verderb	
auf Granit beißen	189	189	auf Granit + BEIẞEN		2	5 -> 2	2	5 -> 2							2				https://de.wiktionary.org/wiki/auf_Granit_bei%C3%9Fen	
auf großem Fuß leben	190	190	auf großem Fuß + LEBEN		3	5 -> 3	3	5 -> 3							3				https://de.wiktionary.org/wiki/auf_gro%C3%9Fem_Fu%C3%9F_leben	https://en.wiktionary.org/wiki/auf_gro%C3%9Fem_Fu%C3%9F_leben
auf Grund laufen	191	191	auf Grund + LAUFEN		113	3624 -> 113	134	3624 -> 134							113				https://de.wiktionary.org/wiki/auf_Grund_laufen	
auf gut Deutsch	192	192	auf gut Deutsch		1	1	3	3							1				https://de.wiktionary.org/wiki/auf_gut_Deutsch	https://en.wiktionary.org/wiki/auf_gut_Deutsch
auf gutem Fuß stehen	193	193	auf gutem Fuß + STEHEN		1	1 -> 1	1	1 -> 1							1				https://de.wiktionary.org/wiki/auf_gutem_Fu%C3%9F_stehen	https://en.wiktionary.org/wiki/auf_gutem_Fu%C3%9F_stehen
auf Heller und Pfennig	194	194	auf Heller und Pfennig		1	1	1	1							1				https://de.wiktionary.org/wiki/auf_Heller_und_Pfennig	https://en.wiktionary.org/wiki/auf_Heller_und_Pfennig
auf Herz und Nieren prüfen	195	195	auf Herz und Nieren + prüf		2	3 -> 2	2	3 -> 2							2				https://de.wiktionary.org/wiki/auf_Herz_und_Nieren_pr%C3%BCfen	
auf Holz klopfen	196	196	auf Holz + klopf		0	78 -> 0	0	78 -> 0							0				https://de.wiktionary.org/wiki/auf_Holz_klopfen	
auf jeden Fall	197	197	auf jeden Fall		215	215	215	215							215				https://de.wiktionary.org/wiki/auf_jeden_Fall	
auf Kante nähen	198	198	auf Kante + NÄHEN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/auf_Kante_n%C3%A4hen	
auf keine Kuhhaut gehen	199	199	auf keine Kuhhaut + GEHEN		1	1 -> 1	1	1 -> 1							1	auf keine Kuhhaut gehen			https://de.wiktionary.org/wiki/auf_keine_Kuhhaut_gehen	https://en.wiktionary.org/wiki/auf_keine_Kuhhaut_gehen
auf keinen Fall	200	200	auf keinen Fall		90	90	90	90							90				https://de.wiktionary.org/wiki/auf_keinen_Fall	
auf keinen grünen Zweig kommen	201	201	keinen grünen Zweig + KOMMEN		1	1 -> 1	1	1 -> 1							1				https://de.wiktionary.org/wiki/auf_keinen_gr%C3%BCnen_Zweig_kommen	https://en.wiktionary.org/wiki/auf_keinen_gr%C3%BCnen_Zweig_kommen
auf Krawall gebürstet sein	202	202	auf Krawall gebürstet + SEIN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/auf_Krawall_geb%C3%BCrstet_sein	
auf laut stellen	203	203	auf laut + STELLEN		0	9 -> 0	0	12 -> 0							0				https://de.wiktionary.org/wiki/auf_laut_stellen	
auf Messers Schneide stehen	204	204	auf Messers Schneide	auf des Messers Schneide	12	12	12	12	2	2	2	2			12	auf Messers Schneide stehen		auf des Messers Schneide stehen	https://de.wiktionary.org/wiki/auf_Messers_Schneide_stehen	
auf Nimmerwiedersehen	205	205	auf Nimmerwiedersehen		3	3	3	3							3				https://de.wiktionary.org/wiki/auf_Nimmerwiedersehen	
auf Nummer sicher gehen	206	206	auf Nummer + sicher		6	25 -> 6	6	25 -> 6							6				https://de.wiktionary.org/wiki/auf_Nummer_sicher_gehen	https://en.wiktionary.org/wiki/auf_Nummer_sicher_gehen
auf offener Straße	207	207	auf offener Straße		67	67	67	67							67				https://de.wiktionary.org/wiki/auf_offener_Stra%C3%9Fe	https://en.wiktionary.org/wiki/auf_offener_Stra%C3%9Fe
auf Pump leben	208	208	auf Pump + LEBEN		2	5 -> 2	2	5 -> 2							2		auf Pump leben		https://de.wiktionary.org/wiki/auf_Pump_leben	
auf Punkt und Beistrich	209	209	auf Punkt und Beistrich		0	0	0	0							0				https://de.wiktionary.org/wiki/auf_Punkt_und_Beistrich	
auf Punkt und Komma	210	210	auf Punkt und Komma		0	0	0	0							0				https://de.wiktionary.org/wiki/auf_Punkt_und_Komma	
auf Sand gebaut haben	211	211	auf Sand gebaut		1	1	1	1							1				https://de.wiktionary.org/wiki/auf_Sand_gebaut_haben	https://en.wiktionary.org/wiki/auf_Sand_gebaut_haben
auf Schusters Rappen	212	212	auf Schusters Rappen		4	4	4	4							4				https://de.wiktionary.org/wiki/auf_Schusters_Rappen	https://en.wiktionary.org/wiki/auf_Schusters_Rappen
auf sich warten lassen	213	213	auf SICHA warten + LASSEN		84	89 -> 84	84	89 -> 84							84				https://de.wiktionary.org/wiki/auf_sich_warten_lassen	
auf Spitz und Knopf stehen	214	214	auf Spitz und Knopf + STEHEN		0	0 -> 0	0	0 -> 0							0	Spitz auf Knopf stehen			https://de.wiktionary.org/wiki/auf_Spitz_und_Knopf_stehen	
auf taube Ohren stoßen	215	215	auf taube Ohren + STOẞEN	auf offene Ohren + STOẞEN	15	15 -> 15	15	15 -> 15	3	3 -> 3	3	3 -> 3			15				https://de.wiktionary.org/wiki/auf_taube_Ohren_sto%C3%9Fen	https://en.wiktionary.org/wiki/auf_taube_Ohren_sto%C3%9Fen
auf Teufel komm raus	216	216	auf Teufel + (\b|\bhe)raus(\b|k.m|zukommen|gekommen) + _KOMMEN	auf Teufel + (\b|\bhe)raus(\b|k|z|g) + _KOMMEN	2	3 -> 2 -> 2	2	3 -> 2 -> 2	2	3 -> 2 -> 2	2	3 -> 2 -> 2			2				https://de.wiktionary.org/wiki/auf_Teufel_komm_raus	https://en.wiktionary.org/wiki/auf_Teufel_komm_raus
auf tönernen Füßen stehen	217	217	auf tönernen Füßen + STEHEN	auf tönernen Füßen + SEIN	2	3 -> 2	2	3 -> 2	0	3 -> 0	0	3 -> 0			2				https://de.wiktionary.org/wiki/auf_t%C3%B6nernen_F%C3%BC%C3%9Fen_stehen	
auf und davon	218	218	auf und davon		14	14	14	14							14				https://de.wiktionary.org/wiki/auf_und_davon	
auf verlorenem Posten stehen	219	219	auf verlorenem Posten + STEHEN	auf verlorenem Posten + SEIN	7	10 -> 7	7	10 -> 7	3	10 -> 3	3	10 -> 3			7				https://de.wiktionary.org/wiki/auf_verlorenem_Posten_stehen	
auf Vordermann bringen	220	220	auf Vordermann + BRINGEN		7	7 -> 7	7	7 -> 7							7				https://de.wiktionary.org/wiki/auf_Vordermann_bringen	
auf Wolke sieben schweben	221	221	auf Wolke sieben	auf Wolke sieben + schweb	1	1	1	1	1	1 -> 1	1	1 -> 1			1				https://de.wiktionary.org/wiki/auf_Wolke_sieben_schweben	
auf Zack bringen	222	222	auf Zack + BRINGEN		0	3 -> 0	0	3 -> 0							0	auf Zack sein			https://de.wiktionary.org/wiki/auf_Zack_bringen	https://en.wiktionary.org/wiki/auf_Zack_bringen
auf Zack sein	223	223	auf Zack + SEIN		1	3 -> 1	1	3 -> 1							1	auf Zack sein			https://de.wiktionary.org/wiki/auf_Zack_sein	https://en.wiktionary.org/wiki/auf_Zack_sein
auf Zuwachs berechnet sein	224	224	auf Zuwachs + berechnet + SEIN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0				https://de.wiktionary.org/wiki/auf_Zuwachs_berechnet_sein	
auf zwei Hochzeiten tanzen	225	225	auf zwei Hochzeiten + tanz		0	0 -> 0	0	0 -> 0							0	auf zwei Hochzeiten tanzen			https://de.wiktionary.org/wiki/auf_zwei_Hochzeiten_tanzen	
aufgehen wie ein Hefekloß	226	226	wie ein Hefekloß		0	0	0	0							0				https://de.wiktionary.org/wiki/aufgehen_wie_ein_Hefeklo%C3%9F	
aufgehen wie ein Pfannkuchen	227	227	wie ein Pfannkuchen + \bauf + _GEHEN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0				https://de.wiktionary.org/wiki/aufgehen_wie_ein_Pfannkuchen	
aufn Swutsch gehen	228	228	aufn Swutsch + GEHEN		0	0 -> 0	0	0 -> 0							0	auf den Swutsch gehen		auf den Swutsch gehen	https://de.wiktionary.org/wiki/aufn_Swutsch_gehen	
aufpassen wie ein Haftelmacher	229	229	wie ein Haftelmacher		0	0	0	0							0	aufpassen wie ein Heftelmacher	aufpassen wie ein Heftelmacher	aufpassen wie ein Heftelmacher	https://de.wiktionary.org/wiki/aufpassen_wie_ein_Haftelmacher	
aufpassen wie ein Heftelmacher	230	230	wie ein Heftelmacher + \bauf(\b|p|z|g) + pass		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	aufpassen wie ein Heftelmacher	aufpassen wie ein Heftelmacher		https://de.wiktionary.org/wiki/aufpassen_wie_ein_Heftelmacher	
aufpassen wie ein Luchs	231	231	wie ein Luchs + auf + pass		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0		aufpassen wie ein Heftelmacher		https://de.wiktionary.org/wiki/aufpassen_wie_ein_Luchs	
aufpassen wie ein Schießhund	232	232	wie ein Schießhund		0	0	0	0							0		aufpassen wie ein Heftelmacher		https://de.wiktionary.org/wiki/aufpassen_wie_ein_Schie%C3%9Fhund	
aufs Ganze gehen	233	233	aufs Ganze + GEHEN		4	13 -> 4	9	13 -> 9							4				https://de.wiktionary.org/wiki/aufs_Ganze_gehen	
aufs Haar	234	234	aufs Haar		4	4	4	4							4	aufs Haar			https://de.wiktionary.org/wiki/aufs_Haar	
Aufsehen erregen	235	235	Aufsehen + \berreg		633	1061 -> 633	634	1063 -> 634							633				https://de.wiktionary.org/wiki/Aufsehen_erregen	
Auge um Auge	236	236	Auge um Auge		6	6	6	6							6	Auge um Auge		Auge um Auge, Zahn um Zahn	https://de.wiktionary.org/wiki/Auge_um_Auge	
Auge um Auge, Zahn um Zahn	237	237	Auge um Auge + Zahn um Zahn		1	6 -> 1	1	6 -> 1							1	Auge um Auge			https://de.wiktionary.org/wiki/Auge_um_Auge%2C_Zahn_um_Zahn	
Augen zu und durch	238	238	Augen zu und durch		1	1	1	1							1				https://de.wiktionary.org/wiki/Augen_zu_und_durch	
aus allen Himmeln fallen	239	239	aus allen Himmeln + FALLEN		0	0 -> 0	0	0 -> 0							0	aus allen Wolken fallen			https://de.wiktionary.org/wiki/aus_allen_Himmeln_fallen	
aus allen Himmeln stürzen	240	240	aus allen Himmeln + stürz		0	0 -> 0	0	0 -> 0							0	aus allen Wolken fallen			https://de.wiktionary.org/wiki/aus_allen_Himmeln_st%C3%BCrzen	
aus allen Wolken fallen	241	241	aus allen Wolken + FALLEN		4	4 -> 4	4	4 -> 4							4	aus allen Wolken fallen			https://de.wiktionary.org/wiki/aus_allen_Wolken_fallen	https://en.wiktionary.org/wiki/aus_allen_Wolken_fallen
aus Daffke	242	242	aus Daffke		0	0	0	0							0				https://de.wiktionary.org/wiki/aus_Daffke	
aus dem Blechnapf fressen	243	243	aus dem Blechnapf + FRESSEN		3	3 -> 3	3	3 -> 3							3				https://de.wiktionary.org/wiki/aus_dem_Blechnapf_fressen	
aus dem Feuer reißen	244	244	aus dem Feuer + REIẞEN		0	9 -> 0	0	9 -> 0							0				https://de.wiktionary.org/wiki/aus_dem_Feuer_rei%C3%9Fen	
aus dem Handgelenk	245	245	aus dem Handgelenk		5	5	5	5							5				https://de.wiktionary.org/wiki/aus_dem_Handgelenk	https://en.wiktionary.org/wiki/aus_dem_Handgelenk
aus dem Hinterhalt pupen	246	246	aus dem Hinterhalt + PUPEN		0	47 -> 0	0	47 -> 0							0				https://de.wiktionary.org/wiki/aus_dem_Hinterhalt_pupen	
aus dem Hut zaubern	247	247	aus dem Hut + zauber		0	5 -> 0	2	5 -> 2							0				https://de.wiktionary.org/wiki/aus_dem_Hut_zaubern	
aus dem Knick kommen	248	248	aus dem Knick + KOMMEN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/aus_dem_Knick_kommen	
aus dem Koffer leben	249	249	aus dem Koffer + LEBEN		0	4 -> 0	1	4 -> 1							0				https://de.wiktionary.org/wiki/aus_dem_Koffer_leben	
aus dem Kopf	250	250	aus dem Kopf		29	29	29	29							29				https://de.wiktionary.org/wiki/aus_dem_Kopf	https://en.wiktionary.org/wiki/aus_dem_Kopf
aus dem Lameng	251	251	aus dem Lameng		0	0	0	0							0				https://de.wiktionary.org/wiki/aus_dem_Lameng	
aus dem Leim gehen	252	252	aus dem Leim + GEHEN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/aus_dem_Leim_gehen	
aus dem letzten Loch pfeifen	253	253	aus dem letzten Lock + PFEIFEN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/aus_dem_letzten_Loch_pfeifen	
aus dem Nähkästchen plaudern	254	254	aus dem Nähkästchen + plauder		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/aus_dem_N%C3%A4hk%C3%A4stchen_plaudern	
aus dem Rahmen fallen	255	255	aus dem Rahmen + FALLEN		23	29 -> 23	23	29 -> 23							23				https://de.wiktionary.org/wiki/aus_dem_Rahmen_fallen	https://en.wiktionary.org/wiki/aus_dem_Rahmen_fallen
aus dem Ruder laufen	256	256	aus dem Ruder + LAUFEN		19	21 -> 19	19	21 -> 19							19				https://de.wiktionary.org/wiki/aus_dem_Ruder_laufen	https://en.wiktionary.org/wiki/aus_dem_Ruder_laufen
aus dem Schneider sein	257	257	aus dem Schneider + SEIN		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/aus_dem_Schneider_sein	
aus dem Vollen schöpfen	258	258	aus dem Vollen + schöpf		2	8 -> 2	2	11 -> 2							2				https://de.wiktionary.org/wiki/aus_dem_Vollen_sch%C3%B6pfen	
aus den Augen verlieren	259	259	aus den Augen + VERLIEREN		96	118 -> 96	96	118 -> 96							96				https://de.wiktionary.org/wiki/aus_den_Augen_verlieren	
aus den Federn	260	260	aus den Federn		1	1	1	1							1				https://de.wiktionary.org/wiki/aus_den_Federn	
aus den Fugen gehen	261	261	aus den Fugen + GEHEN		3	26 -> 3	3	26 -> 3							3	aus den Fugen geraten		aus den Fugen geraten	https://de.wiktionary.org/wiki/aus_den_Fugen_gehen	
aus den Fugen geraten	262	262	aus den Fugen + GERATEN		20	26 -> 20	20	26 -> 20							20	aus den Fugen geraten			https://de.wiktionary.org/wiki/aus_den_Fugen_geraten	https://en.wiktionary.org/wiki/aus_den_Fugen_geraten
aus den Latschen kippen	263	263	aus den Latschen + kipp		0	0 -> 0	0	0 -> 0							0				https://de.wiktionary.org/wiki/aus_den_Latschen_kippen	
aus der Art schlagen	264	264	aus der Art + SCHLAGEN		5	17 -> 5	5	19 -> 5							5				https://de.wiktionary.org/wiki/aus_der_Art_schlagen	https://en.wiktionary.org/wiki/aus_der_Art_schlagen
aus der Decke schlagen	265	265	aus der Decke + SCHLAGEN		0	4 -> 0	0	4 -> 0							0				https://de.wiktionary.org/wiki/aus_der_Decke_schlagen	
aus der Haut fahren	266	266	aus der Haut + FAHREN		0	19 -> 0	0	19 -> 0							0				https://de.wiktionary.org/wiki/aus_der_Haut_fahren	https://en.wiktionary.org/wiki/aus_der_Haut_fahren
aus der Hüfte schießen	267	267	aus der Hüfte + SCHIEẞEN		1	3 -> 1	1	3 -> 1							1				https://de.wiktionary.org/wiki/aus_der_H%C3%BCfte_schie%C3%9Fen	
aus der Lamäng	268	268	aus der Lamäng		0	0	0	0							0				https://de.wiktionary.org/wiki/aus_der_Lam%C3%A4ng	
aus der Portokasse zahlen	269	269	aus der Portokasse + zahl		0	3 -> 0	0	3 -> 0							0				https://de.wiktionary.org/wiki/aus_der_Portokasse_zahlen	https://en.wiktionary.org/wiki/aus_der_Portokasse_zahlen
aus der Reihe tanzen	270	270	aus der Reihe + tanz		4	83 -> 4	4	83 -> 4							4				https://de.wiktionary.org/wiki/aus_der_Reihe_tanzen	https://en.wiktionary.org/wiki/aus_der_Reihe_tanzen
aus die Maus	271	271	aus die Maus		0	0	0	0							0				https://de.wiktionary.org/wiki/aus_die_Maus	
aus einem Furz einen Donnerschlag machen	272	272	aus einem Furz + einen Donnerschlag + MACHEN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	aus einer Mücke einen Elefanten machen			https://de.wiktionary.org/wiki/aus_einem_Furz_einen_Donnerschlag_machen	
aus einer Mücke einen Elefanten machen	273	273	Mücke + Elefanten + MACHEN		0	99 -> 0 -> 0	0	99 -> 0 -> 0							0	aus einer Mücke einen Elefanten machen			https://de.wiktionary.org/wiki/aus_einer_M%C3%BCcke_einen_Elefanten_machen	https://en.wiktionary.org/wiki/aus_einer_M%C3%BCcke_einen_Elefanten_machen
aus etwas Honig saugen	274	274	Honig + SAUGEN		2	332 -> 2	3	336 -> 3							2				https://de.wiktionary.org/wiki/aus_etwas_Honig_saugen	https://en.wiktionary.org/wiki/aus_etwas_Honig_saugen
aus etwas Kleinholz machen	275	275	aus + Kleinholz + MACHEN		1	341206 -> 2 -> 1	1	341246 -> 2 -> 1							1	aus jemandem Kleinholz machen	aus jemandem Kleinholz machen		https://de.wiktionary.org/wiki/aus_etwas_Kleinholz_machen	
