headword	orig order	re1	re2
dem Fass den Boden ausschlagen	447	dem Fass + den Boden + \baus(\b|s|z|g) + _SCHLAGEN	
dem Fass die Krone ins Gesicht schlagen	448	dem Fass + die Krone + ins Gesicht + SCHLAGEN	
dem lieben Gott den Tag stehlen	449	dem lieben Gott + den Tag + STEHLEN	
dem lieben Gott die Zeit stehlen	450	dem lieben Gott + die Zeit + STEHLEN	
dem Rotstift zum Opfer fallen	451	dem Rotstift zum Opfer + FALLEN	
dem Tod von der Schippe springen	452	dem Tod + von der Schippe + SPRINGEN	
dem Volk aufs Maul schauen	453	dem Volk aufs Maul + SCHAUEN	
den Aal abziehen	454	den Aal + \bab(\b|z|g) + _ZIEHEN	
den Abflug machen	455	den Abflug + MACHEN	
den Abgang machen	456	den Abgang + MACHEN	
den Amtsschimmel reiten	457	dem Amtsschimmel + REITEN	
den Arsch offen haben	458	den Arsch offen + HABEN	
den Bach runtergehen	459	den Bach + \brunter(\b|zugehen|g) + _GEHEN	den Bach + \brunter(\b|z|g) + _GEHEN
den Ball flach halten	460	den Ball + flach + HALTEN	
den Ball unter sich begraben	461	den Ball + unter SICHA + BEGRABEN	
den Bock zum Gärtner machen	462	den Bock + zum Gärtner + MACHEN	
den Boden unter den Füßen wegziehen	463	den Boden unter den Füßen + \bweg(\b|z|g) + _ZIEHEN	
den Bogen raushaben	464	den Bogen + \braus(\b|h|z|g) + _HABEN	
den Bogen überspannen	465	den Bogen + \büber(\b|spann|zuspannen|gespannt) + spann	den Bogen + \büber(\b|s|z|g) + spann
den Braten riechen	466	den Braten + RIECHEN	
den Bund fürs Leben schließen	467	den Bund fürs Leben + SCHLIEẞEN	
den Faden verlieren	468	den Faden + VERLIEREN	
den Faden wiederfinden	469	den Faden + \bwieder + _FINDEN	
den Fall setzen	470	den Fall + SETZEN	
den Fehdehandschuh aufnehmen	471	den Fehdehandschuh + \bauf(\b|n|z|g) + _NEHMEN	
den Fehdehandschuh hinwerfen	472	den Fehdehandschuh + \bhin(\b|w|z|g) + _WERFEN	
den Finger am Puls der Zeit haben	473	den Finger am Puls der Zeit + HABEN	
den Finger auf die brennende Wunde legen	474	den Finger + auf die brennende Wunde + LEGEN	
den Finger auf die Wunde legen	475	den Finger + auf die Wunde + LEGEN	
den Geist aufgeben	476	den Geist + \bauf(\b|z|g) + _GEBEN	
den gordischen Knoten zerschlagen	477	gordischen Knoten + ZERSCHLAGEN	
den Gürtel enger schnallen	478	den Gürtel + enger + schnall	
den Hals aus der Schlinge ziehen	479	den Hals aus der Schlinge + ZIEHEN	
den Hals nicht vollkriegen	480	den Hals + nicht + \bvoll(\b|k|z|g) + KRIEGEN	
den Hut nehmen	481	den Hut + NEHMEN	SEINMA Hut + NEHMEN
den inneren Schweinehund überwinden	482	den inneren Schweinehund + \büber(\b|w|z|g) + _WINDEN	
den Kaffee aufhaben	483	den Kaffee + \bauf(\b|h|z|g) + _HABEN	
den Karren aus dem Dreck ziehen	484	den Karren + aus dem Dreck	
den Kochlöffel schwingen	485	den Kochlöffel + SCHWINGEN	
den Kopf aus der Schlinge ziehen	486	den Kopf aus der Schlinge + ZIEHEN	
den Kopf hängen lassen	487	den Kopf + hängen + LASSEN	
den Kopf in den Sand stecken	488	den Kopf + in den Sand	
den Kopf verlieren	489	den Kopf + VERLIEREN	
den Kopf über Wasser halten	490	den Kopf über Wasser + HALTEN	
den Kreis eckig kriegen	491	den Kreis eckig + KRIEGEN	
den Kürzeren ziehen	492	den Kürzeren + ZIEHEN	
den Laufpass bekommen	493	den Laufpass + BEKOMMEN	
den Laufpass kriegen	494	den Laufpass + KRIEGEN	
den letzten Atemzug tun	495	den letzten Atemzug + TUN	
den lieben Gott einen guten Mann sein lassen	496	den lieben Gott + einen guten Mann + \bsein\b + LASSEN	
den längeren Atem haben	497	den längeren Atem + HABEN	
den Löffel abgeben	498	den Löffel + \bab(\b|z|g) + _GEBEN	
den Mond anbellen	499	den Mond + \ban(\b|b|z|g) + bell	
den Nagel auf den Kopf treffen	500	den Nagel auf den Kopf + TREFFEN	
den Ochsen hinter den Pflug spannen	501	den Ochsen + hinter den Pflug + spann	
den Pegasus reiten	502	den Pegasus + REITEN	
den Pflug vor den Ochsen spannen	503	den Pflug + vor den Ochsen + spann	
den Pflug vor die Ochsen spannen	504	den Pflug vor die Ochsen + spann	
den Rest geben	505	den Rest + GEBEN	
den richtigen Riecher haben	506	den richtigen Riecher	
den Rubikon überschreiten	507	den Rubikon + \büber(\b|s|z|g) + _SCHREITEN	
den Rücken kehren	508	den Rücken + kehr	
den Rücken stärken	509	den Rücken + stärk	
den Sabbel halten	510	den Sabbel + HALTEN	
den Sack zumachen	511	den Sack + \bzu + _MACHEN	
den Schalk im Nacken haben	512	den Schalk im Nacken + HABEN	
den Schalter umlegen	513	den Schalter + \bum(\b|leg|zulegen|gelegt) + _LEGEN	den Schalter + \bum(\b|l|z|g) + _LEGEN
den Schein wahren	514	den Schen + wahr	
den Scherm aufhaben	515	den Scherm + \bauf(\b|h|z|g) + _HABEN	
den Schlaf der Gerechten schlafen	516	Schlaf der Gerechten + SCHLAFEN	
den Schlaf des Gerechten schlafen	517	Schlaf des Gerechten + SCHLAFEN	
den Schleier nehmen	518	den Schleier + NEHMEN	
den Schnabel halten	519	den Schnabel + HALTEN	
den Schoaß in der Finstern schmecken	520	den Schoaß + Finstern + schmeck	
den Schwanz einziehen	521	den Schwanz + \bein + _ZIEHEN	
den Spieß umdrehen	522	den Spieß + \bum + dreh	
den Splitter im fremden Auge, aber nicht den Balken im eigenen sehen	523	den Splitter im fremden Auge	den Balken im eigenen
den Stab über jemanden brechen	524	den Stab über + BRECHEN	
den starken Mann markieren	525	den starken Mann + markier	
den Teufel an die Wand malen	526	den Teufel an die Wand + MALEN	
den Teufel durch Beelzebub austreiben	527	den Teufel + durch Beelzebub + \baus(\b|t|z|g) + _TREIBEN	
den Teufel mit Beelzebub austreiben	528	den Teufel + mit Beelzebub + \baus(\b|t|z|g) + _TREIBEN	
den Tod erleiden	529	den Tod + ERLEIDEN	
den Tod finden	530	den Tod + FINDEN	
den Vogel abschießen	531	den Vogel + \bab + _SCHIEẞEN	
den Wald vor lauter Bäumen nicht sehen	532	den Wald + vor (lauter )?Bäumen nicht + SEHEN	
den Weg alles Irdischen gehen	533	den Weg alles Irdischen + GEHEN	
den Wurm baden	534	den Wurm + BADEN	
den Zahn der Zeit treffen	535	den Zahn der Zeit + TREFFEN	
der Arsch sein	536	der Arsch + SEIN	
der Drops ist gelutscht	537	der Drops + gelutscht + SEIN	
der Fisch stinkt immer vom Kopfe her	538	der Fisch + vom Kopfe + \bher + _STINKEN	
der Gefahr ins Auge sehen	539	der Gefahr ins Auge + SEHEN	
der große Bruder	540	\b[Dd]e[rmns] große[nm]? Bruders? + MANUAL_REVIEW	der große Bruder
der Hecht im Karpfenteich	541	\b[Dd]e[rnms] Hechts? im Karpfenteich\b	der Hecht im Karpfenteich
der Kelch geht an jemandem vorüber	542	der Kelch + (\bdr|\bdar|\b)an\b + \bvorüber + _GEHEN	
der kleine Mann	543	\b[Dd]e[rnms] kleine[nm]? Mann(e?s)?\b	der kleine Mann
der langen Rede kurzer Sinn	544	der langen Rede + kurzer Sinn	
der Liebe keinen Abbruch tun	545	der Liebe keinen Abbruch + TUN	
der Länge nach	546	der Länge nach	
der Narr muss ein Abzeichen haben	547	der Narr muss ein Abzeichen haben	
der Prügelknabe sein	548	der Prügelknabe + SEIN	
der Schein trügt	549	der Schein + trüg	
der Stand der Dinge	550	\b[Dd]e[rnms] Stands? der Dinge\b	der Stand der Dinge
der wahre Jakob	551	\b[Dd]e[rmns] wahre[nm]? Jakobs?\b	der wahre Jakob
der Zahn der Zeit	552	\b[Dd]e[rnms] Zahn(e?s)? der Zeit\b	der Zahn der Zeit
der Zug ist abgefahren	553	der Zug + abgefahren + SEIN + MANUAL_REVIEW	
des Wahnsinns fette Beute sein	554	des Wahnsinns fette Beute	
dicht an dicht	555	dicht an dicht	
dick auftragen	556	dick auf + _TRAGEN	
dicke Luft	557	dicke Luft	
die Abwechslung lieben	558	die Abwechslung + LIEBEN	
die Arschkarte zeigen	559	die Arschkarte + ZEIGEN	
die Arschkarte ziehen	560	die Arschkarte + ZIEHEN	
die Augen für immer schließen	561	die Augen + für immer + SCHLIEẞEN	
die Axt an die Wurzel legen	562	Axt + an die Wurzel + LEGEN	
die Axt an etwas legen	563	die Axt + an\b + LEGEN	
die Beine breitmachen	564	die Beine + breit + _MACHEN	
die Beine in die Hand nehmen	565	Beine in die Hand + NEHMEN	
die Biege machen	566	die Biege + MACHEN	
die Bombe platzen lassen	567	die Bombe + platzen + LASSEN	
die Bretter, die die Welt bedeuten	568	Bretter + die Welt + bedeut	
die Brücken hinter sich abbrechen	569	die Brücke hinter SICHB + \bab + _BRECHEN	
die Bäume wachsen nicht in den Himmel	570	die Bäume + in den Himmel + nicht + WACHSEN	
die Einschläge kommen näher	571	die Einschläge + näher + KOMMEN	
die erste Geige spielen	572	die erste Geige + spiel	
die Faxen dick haben	573	die Faxen dick + HABEN	
die Faxen dicke haben	574	die Faxen dicke + HABEN	
die Felle wegschwimmen sehen	575	die Felle wegschwimmen + SEHEN	
die Feste feiern, wie sie fallen	576	die Feste + wie sie fallen + feier	die Feste + wie sie kommen + feier
die Feste feiern, wie sie kommen	577	die Feste + wie sie kommen + feier	die Feste + wie sie fallen + feier
die Finger im Spiel haben	578	die Finger im Spiel + HABEN	die (Hand|Hände) im Spiel + HABEN
die Finger von etwas lassen	579	die Finger von + LASSEN	
die Fliege machen	580	die Fliege + MACHEN	
die Flinte ins Korn werfen	581	die Flinte + ins Korn + WERFEN	
die Fresse halten	582	die Fresse + HALTEN	
die Front wechseln	583	die Front + wechs(el|le)	
die Fäden in der Hand haben	584	die Fäden + in der Hand	
die Fäden ziehen	585	die Fäden + ZIEHEN	
die Führung auf dem Fuß haben	586	die Führung auf dem Fuß + HABEN	
die Füße unter den Arm nehmen	587	die Füße + unter den Arm + NEHMEN	
die ganze Innung blamieren	588	die ganze Innung + blamier	
die Gelegenheit beim Schopfe packen	589	Gelegenheit + beim Schopfe? + pack	Gelegenheit + ERGREIFEN
die grauen Zellen	590	grauen Zellen	
die Grätsche machen	591	die Grätsche + MACHEN	
die Herren der Schöpfung	592	Herren + der Schöpfung	
die Honneurs machen	593	die Honneurs + MACHEN	
die Hosen anhaben	594	die Hosen + \ban(\b|h|z|g) + _HABEN	
die Hosen auf halbmast tragen	595	die Hosen auf halbmast + TRAGEN	
die Hosen herunterlassen	596	die Hosen herunter + _LASSEN	
die Hände in den Schoß legen	597	die Hände + in den Schoß + LEGEN	
die Hände in Unschuld waschen	598	die Hände in Unschuld + WASCHEN	
die Hölle auf Erden	599	\b[Dd](ie|er) Hölle auf Erden\b	die Hölle auf Erden
die Hülle und Fülle	600	\b[Dd](ie|er) Hülle und Fülle\b	die Hülle und Fülle
die Hüllen fallen lassen	601	die Hüllen fallen + LASSEN	
die Kacke ist am Dampfen	602	Kacke + am Dampfen	
die kalte Schulter zeigen	603	die kalte Schulter + ZEIGEN	
die Katze aus dem Sack lassen	604	die Katze aus dem Sack + LASSEN	
die Katze im Sack kaufen	605	die Katze im Sack + KAUFEN	
die Kiemen nicht auseinanderkriegen	606	Kiemen + nicht + \bauseinander(\b|k|z|g) + KRIEGEN	
die Kirche im Dorf lassen	607	die Kirche im Dorf + LASSEN	
die Klappe aufreißen	608	Klappe + \bauf(\b|r|z|g) + _REIẞEN	
die Klappe halten	609	die Klappe + HALTEN	
die kleinen grauen Zellen	610	kleinen grauen Zellen	
die Kuh vom Eis bringen	611	die Kuh vom Eis + BRINGEN	
die Kuh vom Eis führen	612	die Kuh vom Eis + FÜHREN	
die Kuh vom Eis holen	613	die Kuh vom Eis + HOLEN	
die Kuh vom Eis kriegen	614	die Kuh vom Eis + KRIEGEN	
die Kuh vom Eis schieben	615	die Kuh vom Eis + SCHIEBEN	
die Kuh vom Eis ziehen	616	die Kuh vom Eis + ZIEHEN	
die Kurve kratzen	617	die Kurve + kratz	
die Latte höher legen	618	die Latte + (höher|hoch) + _LEGEN	
die Luft aus dem Glas lassen	619	die Luft + aus dem Glas + LASSEN	
die Messe ist gelesen	620	die Messe + gelesen + SEIN	
die Muskeln spielen lassen	621	die Muskeln spielen + LASSEN	
die Mücke machen	622	die Mücke + MACHEN	
die Nachhut bilden	623	die Nachhut + bild	
die Nadel im Heuhaufen suchen	624	Nadel im Heuhaufen	Nadel im Heuhaufen + SUCHEN
die Nase voll haben	625	die Nase voll + HABEN	
die Nase vorn haben	626	die Nase vorn + HABEN	
die Nerven liegen blank	627	die Nerven + blank + LIEGEN	
die Nerven verlieren	628	die Nerven + VERLIEREN	
die Notbremse ziehen	629	die Notbremse + ZIEHEN	
die oberen Zehntausend	630	\b[Dd](ie|er) oberen Zehntausend\b	die oberen Zehntausend
die Oberhand gewinnen	631	die Oberhand + GEWINNEN	die Oberhand + BEHALTEN
die Ochsen hinter den Pflug spannen	632	die Ochsen hinter den Pflug + spann	
die Ohren auf Durchzug schalten	633	die Ohren + auf Durchzug + schalt	
die Ohren hängen lassen	634	die Ohren + hängen + LASSEN	
die Ohren spitzen	635	die Ohren + spitz	
die Ohren steif halten	636	die Ohren steif + HALTEN	
die Platte putzen	637	die Platte + putz	
die Qual der Wahl haben	638	die Qual der Wahl	
die Radieschen von unten ansehen	639	die Radieschen von unten + \ban(\b|s|z|g) + _SEHEN	
die Radieschen von unten betrachten	640	die Radieschen von unten + betracht	
die Ratten verlassen das sinkende Schiff	641	das sinkende Schiff + VERLASSEN	die Ratten + das sinkende Schiff + VERLASSEN
die Rechnung ohne den Wirt machen	642	die Rechnung ohne den Wirt + MACHEN	
die Reißleine ziehen	643	die Reißleine + ZIEHEN	
die Ruhe vor dem Sturm	644	Ruhe + vor dem Sturm	
die Runde machen	645	die Runde + MACHEN	
die Sache ist die, und der Umstand ist der	646	die Sache ist die, und der Umstand ist der	
die Sau rauslassen	647	die Sau raus + _LASSEN	
die Schafe von den Böcken scheiden	648	die Schafe + vor den Böcken + SCHEIDEN	
die Schere im Kopf haben	649	die Schere im Kopf + HABEN	
die Schiffe hinter sich verbrennen	650	die Schiffe hinter SICHB + VERBRENNEN	
die Schnauze halten	651	die Schnauze + HALTEN	
die Schnauze voll haben	652	die Schnauze voll + HABEN	
die Schotten dichtmachen	653	die Schotten dicht+ _MACHEN	
die Schulbank drücken	654	die Schulbank + drück	
die Schäflein im Trockenen haben	655	die Schäflein + im Trockenen + HABEN	
die Seele baumeln lassen	656	die Seele + baumeln + LASSEN	
die Segel streichen	657	die Segel + STREICHEN	
die Spendierhosen anhaben	658	die Spendierhosen + \ban(\b|h|z|g) + _HABEN	
die Sprache auf etwas bringen	659	die Sprache auf + BRINGEN	
die Spreu vom Weizen trennen	660	die Spreu + Weizen	
die Stecknadel im Heuhaufen suchen	661	Stecknadel im Heuhaufen + SUCHEN	
die Sterne vom Himmel holen wollen	662	die Sterne + vom Himmel + holen + WOLLEN	
die Stille vor dem Sturm	663	Stille + vor dem Sturm	
die Stirn bieten	664	die Stirn + BIETEN	
die Stirn haben	665	die Stirn + HABEN	
die Straße abklappern	666	die Straße + \bab(\b|k|z|g) + klapper	
die Straße fegen	667	die Straße + FEGEN	
die Stunde der Wahrheit	668	\b[Dd](ie|er) Stunde der Wahrheit\b	die Stunde der Wahrheit
die Suppe auslöffeln	669	die Suppe + \baus(\b|l|z|g) + löff(el|le)	
die Tafel aufheben	670	die Tafel + \bauf(\b|h|z|g) + _HEBEN	
die Waffen strecken	671	die Waffen + streck	
die Wahl haben zwischen Pest und Cholera	672	die Wahl + zwischen Pest und Cholera + HABEN	
die Weichen für etwas stellen	673	die Weichen für + STELLEN	
die Weisheit nicht mit Löffeln gefressen haben	674	die Weisheit + Löffeln? + gefressen	
die Weisheit nicht mit Löffeln gegessen haben	675	die Weisheit + Löffeln? + gegessen	
die Wogen glätten	676	die Wogen + glätt	
die Wände haben Ohren	677	die Wände haben Ohren	
die Würmer baden	678	die Würmer + BADEN	
die Zeit totschlagen	679	die Zeit + \btot(\b|s|z|g) + _SCHLAGEN	
die Zelte abbrechen	680	die Zelte + \bab(\b|b|z|g) + _BRECHEN	
die zweite Geige spielen	681	die zweite Geige + spiel	
die Zähne zusammenbeißen	682	die Zähne + \bzusammen(\b|b|zubeißen|gebissen) + _BEIẞEN	die Zähne + \bzusammen(\b|b|z|g) + _BEIẞEN
die Ärmel hochkrempeln	683	die Ärmel + \bhoch(\b|kremp|zukrempeln|gekrempelt) + kremp(el|le)	die Ärmel + \bhoch(\b|k|z|g) + kremp(el|le)
die üblichen Verdächtigen	684	(die|den) üblichen Verdächtigen	
dies und das	685	dies und das	
dieselbe Couleur in Grün	686	dieselbe Couleur in Grün	
dieselbe Sprache sprechen	687	dieselbe Sprache + SPRECHEN	
dieser Tage	688	dieser Tage	
dieser Zug ist abgefahren	689	dieser Zug + abgefahren + SEIN	
doppelt gemoppelt hält besser	690	doppelt gemoppelt hält besser	
doppelt genäht hält besser	691	doppelt + besser + genäht + HALTEN	
doppelt hält besser	692	doppelt + besser + HALTEN	
dos à dos	693	dos à dos	
Dreck am Stecken haben	694	Dreck am Stecken	
Dreh- und Angelpunkt	695	Dreh-? + und Angelpunkt	
drei Kreuze machen	696	drei Kreuze + MACHEN	
dreimal umgezogen ist einmal abgebrannt	697	dreimal umgezogen + einmal abgebrannt	
Druck auf der Nille haben	698	Druck auf der Nille + HABEN	
Druck ausüben	699	Druck + \baus(\b|üb|zuüben|geübt) + AUSÜBEN	Druck + \baus(\b|ü|z|g) + AUSÜBEN
drunter und drüber	700	drunter und drüber	
dumm wie Bohnenstroh	701	wie Bohnenstroh	
dumm wie Brot	702	dumm wie Brot	
dumm wie hundert Meter Feldweg sein	703	dumm wie hundert Meter Feldweg	
durch Abwesenheit glänzen	704	durch Abwesenheit + glänz	
durch den Kakao ziehen	705	durch den Kakao + ZIEHEN	
durch den Tüdel kommen	706	durch den Tüdel + KOMMEN	
durch die rosarote Brille sehen	707	durch die rosarote Brille + SEHEN	
durch Mark und Bein gehen	708	durch Mark und Bein	
durch und durch	709	durch und durch	
Däumchen drehen	710	Däumchen + dreh	
dümmer sein, als die Polizei erlaubt	711	dümmer + SEIN + als die Polizei erlaubt\w*	
Ei des Columbus	712	Ei des Columbus	
Ei des Kolumbus	713	Ei des Kolumbus	
eierlegende Wollmilchsau	714	eierlegende Wollmilchsau	
Eierstöcke in der Hose haben	715	Eierstöcke in der Hose + HABEN	
eigene vier Wände	716	eigene vier Wände	
ein Aas auf der Bassgeige sein	717	ein Aas + auf der Bassgeige + SEIN	
ein abgebrochener Gartenzwerg	718	ein abgebrochener Gartenzwerg	abgebrochene\w* Gartenzwergs?
ein abgebrochener Riese	719	ein abgebrochener Riese	abgebrochene\w* Riese
ein alter Hase sein	720	ein alter Hase + SEIN	
ein alter Hut sein	721	ein alte[rmn] Hut + SEIN	ein alter Hut + SEIN
ein alter Zopf sein	722	ein alter Zopf + SEIN	
ein armes Schwein sein	723	ein armes Schwein + SEIN	
ein Ass auf der Bassgeige sein	724	ein Ass auf der Bassgeige	
ein Auge auf etwas werfen	725	ein Auge auf + WERFEN	
ein Auge riskieren	726	ein Auge + riskier	
ein Auge zudrücken	727	ein Auge + \bzu(\b|drück|zudrücken|gedrückt) + drück	ein Auge + \bzu(\b|d|z|g) + drück
ein Bad nehmen	728	ein Bad + NEHMEN	
ein Brett vor dem Kopf haben	729	ein Brett vor dem Kopf + HABEN	
ein düsteres Bild zeichnen	730	ein düsteres Bild + zeichn	
ein Ei legen	731	ein Ei + LEGEN	
ein Einsehen haben	732	ein Einsehen + HABEN	
ein Esel in der Löwenhaut	733	ein Esel in der Löwenhaut	Esel in der Löwenhaut
ein Exempel statuieren	734	ein Exempel + statuier	
ein falscher Fuffziger	735	ein falscher Fuffziger	falscher Fuffziger
ein falsches Spiel spielen	736	ein falsches Spiel + spiel	
ein falsches Spiel treiben	737	ein falsches Spiel + TREIBEN	
ein Fass aufmachen	738	ein Fass + \bauf(\b|m|z|g) + _MACHEN	
ein Fass ohne Boden sein	739	ein Fass ohne Boden + SEIN	
ein Fingerhut	740	ein\w* Fingerhut	
ein frühes Grab finden	741	ein frühes Grab + FINDEN	
ein für alle Mal	742	ein für alle Mal	
ein für alle Mal aus der Welt schaffen	743	für alle Mal + aus der Welt + schaff	
ein Gedächtnis wie ein Sieb haben	744	Gedächtnis + wie ein Sieb + HABEN	
ein Gemüt wie ein Fleischerhund haben	745	ein Gemüt wie ein Fleischerhund + HABEN	
ein gerüttelt Maß	746	ein gerüttelt Maß	\bgerüttelt\w* Maß
ein Gruß aus der Küche	747	ein\w* Gruß aus der Küche	ein Gruß aus der Küche
ein Haar in der Suppe finden	748	Haar in der Suppe + FINDEN	
ein Haus machen	749	ein Haus + MACHEN + MANUAL_REVIEW	
ein heißes Eisen	750	\b[Hh]eiße\w* Eisen\b	heiße\w* Eisen
ein heißes Eisen anfassen	751	heiß + Eisen + \ban(\b|f|z|g) + fass	
ein Herz fassen	752	ein Herz + fass	
ein Herz und eine Seele sein	753	ein Herz und eine Seele + SEIN	
ein Hintertürchen offenhalten	754	ein Hintertürchen + \boffen(\b|h|z|g) + _HALTEN	
ein Hirn wie ein Nudelsieb haben	755	ein Hirn + wie ein Nudelsieb + HABEN	
ein Händchen für etwas haben	756	ein glückliches Händchen + HABEN	
ein Kind des Todes sein	757	ein\w* Kind des Todes	Kind des Todes
ein klein wenig	758	ein klein wenig	
ein Königreich für ein …	759	ein Königreich für ein	
ein Machtwort sprechen	760	ein Machtwort + SPRECHEN	
ein Mann von Welt	761	Mann von Welt	ein Mann von Welt
ein Mann, ein Wort	762	ein Mann, ein Wort	
ein paar Zerquetschte	763	ein paar Zerquetschte	
ein Prediger in der Wüste	764	Prediger + in der Wüste	
ein Rad abhaben	765	ein Rad + \bab(\b|h|z|g) + _HABEN	
ein Raub der Flammen werden	766	ein Raub der Flammen + WERDEN	
ein Ritt über den Bodensee	767	ein Ritt über den Bodensee	Ritt + über den Bodensee
